OBJECTID,Month,SAT,LST,I_temp,Energy,Delta_T,Predicted_Energy,diff,percent_diff,diff sq,Predicted_Energy,diff,percent_diff,diff sq
38,18-Feb,31.71,30.51,22.25,8400,8.26,,,,,,,,
39,18-Mar,31.84,31.84,21.43,9246,10.41,,,,,,,,
40,18-Apr,31.53,31.13,26.08,8845,5.05,,,,,,,,
41,18-May,30.6,32.18,24.08,8790,8.1,,,,,,,,
42,18-Jun,28.65,31.53,23.67,8416,7.86,,,,,,,,
43,18-Jul,28.5,31.76,23.82,7154,7.94,,,,,,,,
44,18-Aug,28.59,31.79,25.21,8999,6.58,,,,,,,,
45,18-Sep,28.59,33.69,26.81,7578,6.88,,,,,,,,
46,18-Oct,29.12,32.12,22.94,8482,9.18,,,,,,,,
47,18-Nov,30.27,32.07,21.32,7947,10.75,,,,,,,,
48,18-Dec,28.26,33.06,22.47,7142,10.59,,,,,,,,
49,19-Jan,28.91,31.25,21.2,6841,10.05,,,,,,,,
50,19-Feb,31.23,31.77,23.62,6759,8.15,,,,,,,,
51,19-Mar,31.67,31.89,23.88,6918,8.01,,,,,,,,
52,19-Apr,31.85,30.28,22.56,8252,7.72,,,,,,,,
53,19-May,30.52,29.31,20.91,8534,8.4,,,,,,,,
54,19-Jun,28.65,30.34,21.16,6649,9.18,,,,,,,,
55,19-Jul,28.59,31.37,22.95,7004,8.42,,,,,,,,
56,19-Aug,28.43,29.39,66.59,8895,-37.2,,,,,,,,
57,19-Sep,28.33,30.42,23.35,7419,7.07,,,,,,,,
58,19-Oct,28.99,33.76,20.95,7136,12.81,,,,,,,,
59,19-Nov,30.25,31.54,21.54,7740,10,,,,,,,,
60,19-Dec,28.04,31.98,20.18,6985,11.8,,,,,,,,
61,20-Jan,29,32.08,19.14,8602,12.94,,,,,,,,
62,20-Feb,32,31.49,20.82,10034,10.67,,,,,,,,
63,20-Mar,32,32.53,22.6,8100,9.93,,,,,,,,
64,20-Apr,32,28.41,18.62,10556,9.79,,,,,,,,
65,20-May,30,27.44,18.08,10977,9.36,,,,,,,,
66,20-Jun,29,29.47,16.56,10786,12.91,,,,,,,,
67,20-Jul,29,29.5,20.01,7565,9.49,,,,,,,,
68,20-Aug,28,29.52,17.34,9661,12.18,,,,,,,,
69,20-Sep,29,29.55,19.89,7772,9.66,,,,,,,,
70,20-Oct,29,33.98,25.27,3237,8.71,,,,,,,,
71,20-Nov,30,35.98,29.71,9606,6.27,,,,,,,,
72,20-Dec,28,34.23,20.08,9606,14.15,,,,,,,,
73,21-Jan,29.04,32.24,25.88,8318,6.36,,,,,,,,
74,21-Feb,32.04,32.67,25.67,10092,7,,,,,,,,
75,21-Mar,31.8,33.54,26.73,10659,6.81,,,,,,,,
76,21-Apr,31.59,26.61,21.19,10390,5.42,,,,,,,,
77,21-May,30.5,33.44,22.28,9353,11.16,,,,,,,,
78,21-Jun,28.18,31.81,23.1,7710,8.71,,,,,,,,
79,21-Jul,28.64,31.53,14.24,7585,17.29,,,,,,,,
80,21-Aug,28.17,31.32,21.84,8573,9.48,,,,,,,,
81,21-Sep,28.56,31.64,23.18,9838,8.46,,,,,,,,
82,21-Oct,29.23,31.31,21.5,5376,9.81,,,,,,,,
83,21-Nov,30.06,30.65,20.51,5252,10.14,,,,,,,,
84,21-Dec,28.31,32.34,21,8512,11.34,,,,,,,,
85,22-Jan,29.09,31.23,20.6,8510,10.63,,,,,,,,
86,22-Feb,31.46,30.34,20.65,10171,9.69,,,,,,,,
87,22-Mar,32.08,32.67,24.9,10292,7.77,,,,,,,,
